perturbation level,accuracy,RS,mCE,PDR,MDS
0.1,0.896,1.0,0.0,0.0,
0.2,0.885,0.9877232142857143,0.0,0.012276785714285724,
0.3,0.882,0.984375,0.0,0.015625000000000014,0.2727272727272727
0.4,0.878,0.9799107142857143,0.0,0.020089285714285733,0.5714285714285714
0.5,0.863,0.9631696428571428,0.0,0.03683035714285717,2.5
0.6,0.853,0.9520089285714285,0.0,0.04799107142857147,1.2121212121212122
0.7,0.836,0.9330357142857142,0.0,0.06696428571428577,1.9767441860465118
0.8,0.829,0.9252232142857142,0.0,0.07477678571428578,0.7
0.9,0.812,0.90625,0.0,0.09374999999999996,1.776119402985063
1.0,0.815,0.9095982142857142,0.0,0.0904017857142858,-0.28571428571427554
