perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.907,,,,
0.1,0.867,0.9558985667034178,0.0,0.04410143329658218,
0.2,0.821,0.9051819184123483,0.0,0.09481808158765168,
0.3,0.776,0.8555678059536935,0.0,0.1444321940463065,0.978260869565215
0.4,0.74,0.8158765159867696,0.0,0.18412348401323048,0.7912087912087922
0.5,0.688,0.7585446527012127,0.0,0.2414553472987873,1.2283464566929145
0.6,0.656,0.7232635060639471,0.0,0.27673649393605293,0.7150837988826795
0.7,0.615,0.6780595369349504,0.0,0.32194046306504964,0.9715639810426551
0.8,0.584,0.6438809261300992,0.0,0.3561190738699008,0.7380952380952387
0.9,0.539,0.5942668136714443,0.0,0.40573318632855565,1.1130742049469946
1.0,0.5,0.5512679162072767,0.0,0.4487320837927233,0.9512195121951229
