perturbation level,accuracy,RS,mCE,PDR,MDS
0.1,0.836,1.0,0.0,0.0,
0.2,0.788,0.9425837320574163,0.0,0.05741626794258365,
0.3,0.749,0.895933014354067,0.0,0.10406698564593297,0.8125000000000019
0.4,0.731,0.8744019138755981,0.0,0.1255980861244019,0.4137931034482764
0.5,0.679,0.8122009569377991,0.0,0.18779904306220085,1.485714285714284
0.6,0.637,0.7619617224880383,0.0,0.2380382775119617,1.0700636942675175
0.7,0.6,0.7177033492822966,0.0,0.2822966507177033,0.9296482412060313
0.8,0.564,0.6746411483253588,0.0,0.3253588516746412,0.9152542372881365
0.9,0.535,0.6399521531100479,0.0,0.3600478468899521,0.7463235294117624
1.0,0.473,0.5657894736842105,0.0,0.4342105263157895,1.6478405315614637
