perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.875,,,,
0.1,0.837,0.9565714285714285,0.0,0.04342857142857147,
0.2,0.785,0.8971428571428571,0.0,0.10285714285714283,
0.3,0.759,0.8674285714285714,0.0,0.13257142857142856,0.5000000000000011
0.4,0.73,0.8342857142857143,0.0,0.16571428571428573,0.7435897435897446
0.5,0.687,0.7851428571428573,0.0,0.2148571428571428,1.2056074766355123
0.6,0.636,0.7268571428571429,0.0,0.27314285714285713,1.360000000000002
0.7,0.593,0.6777142857142857,0.0,0.32228571428571434,1.0696517412935336
0.8,0.554,0.6331428571428572,0.0,0.3668571428571428,0.9590163934426211
0.9,0.527,0.6022857142857143,0.0,0.3977142857142857,0.6678445229681986
1.0,0.471,0.5382857142857143,0.0,0.46171428571428574,1.4451612903225821
