perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.907,,,,
0.1,0.867,0.956,0.133,0.044,
0.2,0.821,0.905,0.156,0.095,0.92
0.3,0.776,0.856,0.179,0.144,0.714
0.4,0.74,0.816,0.199,0.184,0.42
0.5,0.688,0.759,0.222,0.241,0.491
0.6,0.656,0.723,0.242,0.277,0.249
0.7,0.615,0.678,0.262,0.322,0.275
0.8,0.584,0.644,0.282,0.356,0.183
0.9,0.539,0.594,0.302,0.406,0.239
1.0,0.5,0.551,0.321,0.449,0.187
