perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.881,,,,
0.1,0.867,0.984,0.133,0.016,
0.2,0.842,0.956,0.146,0.044,0.5
0.3,0.836,0.949,0.152,0.051,0.12
0.4,0.827,0.939,0.157,0.061,0.18
0.5,0.803,0.911,0.165,0.089,0.48
0.6,0.79,0.897,0.173,0.103,0.26
0.7,0.759,0.862,0.182,0.138,0.579
0.8,0.771,0.875,0.188,0.125,0.0
0.9,0.737,0.837,0.196,0.163,0.492
1.0,0.729,0.827,0.204,0.173,0.103
