perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.882,,,,
0.1,0.885,1.003,0.115,-0.003,
0.2,0.882,1.0,0.116,0.0,0.06
0.3,0.883,1.001,0.117,-0.001,0.0
0.4,0.869,0.985,0.12,0.015,0.28
0.5,0.867,0.983,0.123,0.017,0.04
0.6,0.854,0.968,0.127,0.032,0.26
0.7,0.848,0.961,0.13,0.039,0.12
0.8,0.867,0.983,0.131,0.017,0.0
0.9,0.856,0.971,0.132,0.029,0.22
1.0,0.837,0.949,0.135,0.051,0.38
