perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.882,,,,
0.1,0.885,1.003,0.115,-0.003,
0.2,0.874,0.991,0.12,0.009,0.22
0.3,0.866,0.982,0.125,0.018,0.16
0.4,0.86,0.975,0.129,0.025,0.12
0.5,0.854,0.968,0.132,0.032,0.12
0.6,0.852,0.966,0.135,0.034,0.04
0.7,0.837,0.949,0.139,0.051,0.3
0.8,0.827,0.938,0.143,0.062,0.2
0.9,0.831,0.942,0.146,0.058,0.0
1.0,0.825,0.935,0.149,0.065,0.12
