perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.881,,,,
0.1,0.874,0.992,0.126,0.008,
0.2,0.844,0.958,0.141,0.042,0.6
0.3,0.835,0.948,0.149,0.052,0.18
0.4,0.82,0.931,0.157,0.069,0.3
0.5,0.812,0.922,0.163,0.078,0.16
0.6,0.779,0.884,0.173,0.116,0.66
0.7,0.763,0.866,0.182,0.134,0.298
0.8,0.747,0.848,0.191,0.152,0.255
0.9,0.73,0.829,0.2,0.171,0.237
1.0,0.722,0.82,0.207,0.18,0.099
